***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iter,time)****	
46 0.15592575073242 ms	
47 0.15687942504883 ms	
48 0.15497207641602 ms	
49 0.15401840209961 ms	
50 0.15807151794434 ms	
51 0.15592575073242 ms	
52 0.19001960754395 ms	
53 0.16188621520996 ms	
54 0.15902519226074 ms	
55 0.15902519226074 ms	
56 0.16498565673828 ms	
57 0.16999244689941 ms	
58 0.17499923706055 ms	
59 0.15807151794434 ms	
60 0.15401840209961 ms	
61 0.15497207641602 ms	
62 0.15687942504883 ms	
63 0.15592575073242 ms	
64 0.15592575073242 ms	
65 0.15783309936523 ms	
66 0.15902519226074 ms	
67 0.15807151794434 ms	
68 0.15497207641602 ms	
69 0.16188621520996 ms	
70 0.15497207641602 ms	
71 0.15807151794434 ms	
72 0.15592575073242 ms	
73 0.15687942504883 ms	
74 0.78201293945312 ms	
75 0.96702575683594 ms	
76 0.97298622131348 ms	
77 0.97107887268066 ms	
78 0.96487998962402 ms	
79 0.96893310546875 ms	
80 0.97107887268066 ms	
81 0.97084045410156 ms	
82 0.97012519836426 ms	
83 0.96583366394043 ms	
84 0.96893310546875 ms	
85 0.96893310546875 ms	
86 0.97203254699707 ms	
87 0.96678733825684 ms	
88 0.96416473388672 ms	
89 0.99301338195801 ms	
90 0.97417831420898 ms	
91 0.96893310546875 ms	
92 0.97298622131348 ms	
93 0.9620189666748 ms	
94 0.97393989562988 ms	
95 0.9610652923584 ms	
96 0.9760856628418 ms	
97 0.98180770874023 ms	
98 0.97298622131348 ms	
99 0.96893310546875 ms	
100 0.96583366394043 ms	
101 0.96702575683594 ms	
102 0.97203254699707 ms	
103 0.97203254699707 ms	
104 0.96893310546875 ms	
105 0.97393989562988 ms	
106 0.97012519836426 ms	
107 0.96797943115234 ms	
108 0.96797943115234 ms	
109 0.97179412841797 ms	
110 0.97012519836426 ms	
111 0.96702575683594 ms	
112 0.97107887268066 ms	
113 0.97107887268066 ms	
114 0.96583366394043 ms	
115 0.96988677978516 ms	
116 0.97298622131348 ms	
117 0.97393989562988 ms	
118 0.97298622131348 ms	
119 0.96917152404785 ms	
120 0.9758472442627 ms	
121 0.9620189666748 ms	
122 0.96893310546875 ms	
123 0.96893310546875 ms	
124 0.96917152404785 ms	
125 0.97918510437012 ms	
126 0.97203254699707 ms	
127 0.96702575683594 ms	
128 0.97513198852539 ms	
129 0.97298622131348 ms	
130 0.96893310546875 ms	
131 0.97799301147461 ms	
132 0.97489356994629 ms	
133 0.97894668579102 ms	
134 0.97107887268066 ms	
135 0.97107887268066 ms	
136 0.97107887268066 ms	
137 0.96797943115234 ms	
138 0.97203254699707 ms	
139 0.97393989562988 ms	
140 0.97298622131348 ms	
141 0.97107887268066 ms	
142 0.9770393371582 ms	
143 0.97823143005371 ms	
144 0.96297264099121 ms	
145 0.96702575683594 ms	
146 0.97084045410156 ms	
147 0.9770393371582 ms	
148 0.95105171203613 ms	
149 0.96797943115234 ms	
150 0.96797943115234 ms	
**batch size 64**
****GPU Data (iter,time)****	
1 72.645902633667 ms	
2 0.14209747314453 ms	
3 0.13184547424316 ms	
4 0.13208389282227 ms	
5 0.14305114746094 ms	
6 0.16093254089355 ms	
7 0.13589859008789 ms	
8 0.12993812561035 ms	
9 0.13113021850586 ms	
10 0.13208389282227 ms	
11 0.13017654418945 ms	
12 0.13208389282227 ms	
13 0.14615058898926 ms	
14 0.15497207641602 ms	
15 0.13017654418945 ms	
16 0.12898445129395 ms	
17 0.12993812561035 ms	
18 0.13089179992676 ms	
19 0.14209747314453 ms	
20 0.12683868408203 ms	
21 0.12993812561035 ms	
22 0.12993812561035 ms	
23 0.14305114746094 ms	
24 0.14591217041016 ms	
25 0.12993812561035 ms	
26 0.12993812561035 ms	
27 0.12898445129395 ms	
28 0.12421607971191 ms	
29 0.12803077697754 ms	
30 0.13113021850586 ms	
31 0.13113021850586 ms	
32 0.12683868408203 ms	
33 0.1518726348877 ms	
34 0.12803077697754 ms	
35 0.12779235839844 ms	
36 0.12993812561035 ms	
37 0.12993812561035 ms	
38 0.12612342834473 ms	
39 0.12898445129395 ms	
40 0.12898445129395 ms	
41 0.12922286987305 ms	
42 0.12707710266113 ms	
43 0.12707710266113 ms	
44 0.13113021850586 ms	
45 0.12588500976562 ms	
46 0.12707710266113 ms	
47 0.13113021850586 ms	
48 0.12683868408203 ms	
49 0.12588500976562 ms	
50 0.12898445129395 ms	
51 0.12516975402832 ms	
52 0.12683868408203 ms	
53 0.12612342834473 ms	
54 0.13303756713867 ms	
55 0.12707710266113 ms	
56 0.13017654418945 ms	
57 0.13399124145508 ms	
58 0.14400482177734 ms	
59 0.12803077697754 ms	
60 0.12588500976562 ms	
61 0.14901161193848 ms	
62 0.13184547424316 ms	
63 0.14495849609375 ms	
64 0.12803077697754 ms	
65 0.12803077697754 ms	
66 0.12707710266113 ms	
67 0.12493133544922 ms	
68 0.12397766113281 ms	
69 0.13113021850586 ms	
70 0.12898445129395 ms	
71 0.12803077697754 ms	
72 0.12803077697754 ms	
73 0.12707710266113 ms	
74 0.12707710266113 ms	
75 0.12803077697754 ms	
76 0.78797340393066 ms	
77 1.521110534668 ms	
78 1.5029907226562 ms	
79 1.8899440765381 ms	
80 1.5299320220947 ms	
81 1.5170574188232 ms	
82 1.5189647674561 ms	
83 1.5089511871338 ms	
84 1.5170574188232 ms	
85 1.539945602417 ms	
86 1.6739368438721 ms	
87 1.5180110931396 ms	
88 1.5051364898682 ms	
89 1.5439987182617 ms	
90 1.5139579772949 ms	
91 1.5361309051514 ms	
92 1.5101432800293 ms	
93 1.52587890625 ms	
94 1.500129699707 ms	
95 1.4951229095459 ms	
96 1.5151500701904 ms	
97 1.5299320220947 ms	
98 1.4898777008057 ms	
99 1.5239715576172 ms	
100 1.535177230835 ms	
